name,f1_score,roc_auc_score,total_actives,predicted_actives,version,f1,roc_auc,accuracy
transient_receptor_potential_cation_channel_subfamily_v_member_3,1.0,1.0,38,38,py35,0.9870129870129868,1.0,0.9993887530562348
gamma_aminobutyric_acid_receptor_subunit_alpha_6,1.0,1.0,8,8,py35,0.9411764705882352,1.0,0.99438202247191
steroid_hormone_receptor_err1,1.0,1.0,7,7,py35,0.8750000000000001,0.9993131868131868,0.9906976744186048
egl_nine_homolog_2,1.0,1.0,10,10,py35,0.8000000000000002,0.9988023952095808,0.9921722113502937
equilibrative_nucleoside_transporter_1,1.0,1.0,31,31,py35,0.96875,1.0,0.9984996249062266
hypoxia_inducible_factor_1_alpha,1.0,1.0,4,4,py35,0.8888888888888891,1.0,0.9967845659163987
elongation_of_very_long_chain_fatty_acids_protein_6,1.0,1.0,17,17,py35,0.9696969696969696,1.0,0.9982698961937716
galectin_34,1.0,1.0,4,4,py35,0.8,0.9968553459119496,0.9877300613496932
cx3c_chemokine_receptor_1,1.0,1.0,4,4,py35,0.8888888888888891,1.0,0.9956521739130436
c_c_chemokine_receptor_like_2,1.0,1.0,18,18,py35,0.972972972972973,1.0,0.9985486211901308
niemann_pick_c1_like_protein_1,1.0,1.0,5,5,py35,0.6666666666666666,0.96158940397351,0.9743589743589745
complement_c1s_subcomponent,1.0,1.0,12,12,py35,0.923076923076923,1.0,0.9963963963963964
e_selectin,1.0,1.0,26,26,py35,0.9615384615384616,0.9997973041451302,0.9974522292993632
tyrosine_protein_phosphatase_non_receptor_type_11,1.0,1.0,5,5,py27,0.8888888888888891,0.9915662650602408,0.9941520467836256
insulin_like_growth_factor_binding_protein_3,1.0,1.0,4,4,py27,0.8888888888888891,1.0,0.9965397923875432
calcitonin_gene_related_peptide_1,1.0,1.0,10,10,py27,0.8888888888888891,0.9896551724137932,0.9957805907172996
complement_factor_d,0.9959839357429718,0.996,125,124,py35,0.9920634920634921,0.9999981429897864,0.9995488382585156
proteinase_activated_receptor_1,0.9909909909909907,0.9910714285714286,56,55,py35,0.9724770642201834,0.999818369531967,0.9984407484407484
histone_lysine_n_methyltransferase_ezh2,0.9902912621359222,0.9997266265718971,51,52,py27,0.9803921568627452,0.9999785589468154,0.9989361702127659
corticotropin_releasing_factor_receptor_1,0.989384288747346,0.9935203360470432,236,235,py35,0.9809725158562368,0.9999459984313332,0.9989180091368116
serine_threonine_protein_kinase_mtor,0.9883570504527812,0.997111673229412,384,389,py27,0.9857328145265888,0.9999513714107872,0.9991339264624832
protein_kinase_c_beta_type,0.9879518072289156,0.9880952380952379,42,41,py27,0.975609756097561,0.9997762863534676,0.9986945169712794
endothelin_b_receptor,0.9876543209876544,0.9878048780487804,41,40,py35,0.9638554216867472,0.9997774925117672,0.9979536152796724
inhibitor_of_nuclear_factor_kappa_b_kinase_subunit_beta,0.9873417721518988,0.9875,40,39,py27,0.975609756097561,1.0,0.9986622073578596
prostaglandin_e2_receptor_ep1_subtype,0.9873417721518988,0.9875,80,78,py35,0.9559748427672956,0.9997179441260744,0.9975626740947076
retinoic_acid_receptor_rxr_alpha,0.9870129870129868,0.9996423462088698,38,39,py35,0.9473684210526316,0.9996799939763572,0.9972144846796658
